Títulos,Nota,Sinopses,Temporada,Episódio,Franquia
Drag on a Dime,7.3,Nine contestants must re-invent their glam drag looks using thrift store clothing and junk from the 99c store.,1,1,Drag Race
Girl Group Challenge,7.5,Wigs fly when the contestants split up into 2 rival girl groups.,1,2,Drag Race
Queens of all Media,7.5,"The queens must create an Oprah inspired look for the main challenge and retrace her career (report the news via teleprompter, pitch products, and interview celebrity guests). They hit the runway in their very own best drag.",1,3,Drag Race
M.A.C/Viva Glam Challenge,8.1,"With three queens down, RuPaul pairs the racers off to do one another's makeup in the mini challenge. For the main challenge, they must campaign their own screen test entitled ""I am a MAC Viva Glam Woman Because...""",1,4,Drag Race
Drag School of Charm,7.6,RuPaul brings in a group of girl fighters to work out the contestants for the mini challenge. The winner gets to pair each queen with the fighter of his choosing to transform into a version of their drag persona.,1,5,Drag Race
Absolut Drag Ball,7.6,"The final four ""vogue off"" in the mini challenge. The winner gets to choose which Absolut vodka flavors the queens will be representing for the main challenge (creating three different looks: swimwear, executive realness, and evening gown).",1,6,Drag Race
Extra Special Edition,6.8,"This clip show includes a short history of drag, audition tapes of queens who did and didn't make it, the top ten most unforgettable fashion moments, never before scenes, a look at the catch phrases, and a recap of the season thus far.",1,7,Drag Race
Grand Finale,8.1,"The remaining three queens face their final challenge when they're asked to transform into video vixens for the music video to Ru's latest single, ""Champion.""",1,8,Drag Race
Re-United!,7.8,"RuPaul hosts as all 9 contestants are reunited. They discuss the highlights, lowlights, and dramatic moments from the show, answer viewer questions, and get a chance to give the judges a piece of their minds. Miss Congeniality is announced.",1,9,Drag Race
Gone with the Window,7.6,Twelve new queens compete to be America's Next Drag Superstar. The queens must reinvent their drag looks using only a set of curtains and household items.,2,1,Drag Race
Starrbootylicious,7.5,The dolls make it rain when they compete as burlesque dancers at a hot Hollywood nightclub and weather an unexpected twist.,2,2,Drag Race
Country Queens,7.3,The queens split off into teams to film a country-fried commercial directed by Kathy Najimy who's joined on the panel by guest judge country music legend Tanya Tucker.,2,3,Drag Race
The Snatch Game,8.3,"The dolls compete in a star-studded TV game show where they must pull out their best celebrity impersonations. Guests include actor Alec Mapa, red carpet diva Phoebe Price & guest judges comedienne Niecy Nash and actress Lisa Rinna.",2,4,Drag Race
Here Comes the Bride,8.0,Wedding bells ring as the queens go from blushing brides to dragzillas in a challenge that weds their drag personas with the perfect grooms...themselves.,2,5,Drag Race
Rocker Chick,7.9,The queens rock out on the main stage when they're challenged to sing live for the first time ever in RuPaul's Drag Race history.,2,6,Drag Race
Once Upon a Queen,7.7,The dolls must sell their tales as they pose for a book cover photo shoot and hit the press junket circuit. E!'s Marc Malkin is joined by best-selling authors Jackie Collins & Gigi Levangie Grazer & Absolut Vodka's Jeffrey Moran.,2,7,Drag Race
Golden Gals,8.0,The queens must transform a group of silver daddies into their drag mothers in this NYX Cosmetics challenge. They're joined by guest judges Debbie Reynolds & Cloris Leachman as well as NYX Cosmetics founder Toni Ko.,2,8,Drag Race
The Diva Awards,7.8,The final four queens hit the red carpet and pull out all the stops as they create looks for three separate divalicious award shows. Guest judges include Academy Award winner Tatum O'Neal and Tony Award winner Marissa Jaret Winokur.,2,9,Drag Race
The Main Event Clip Show,6.6,RuPaul reviews the highlights of season two via a clip montage.,2,10,Drag Race
Music Video Finale,7.4,"The final three contestants: Tyra, Raven and Jujubee must perform a dramatic scene before cameras, create a vintage 80s look, and perform in RuPaul's music video ""Jealous of my Boogie"" before revealing the season two contest winner.",2,11,Drag Race
Reunion,7.7,"After Tyra Sanchez has been announced winner of the Season Two drag contest, RuPaul reunites the entire Season Two cast to reflect on some past occurrences and confront issues some contestants still harbored for each other and the judges.",2,12,Drag Race
Casting Extravaganza,7.0,"What does it really take to become America's next drag superstar? From fabulous divas to outrageous flops, RuPaul gives a behind-the-scenes look at casting for Drag Race.",3,1,Drag Race
The Queen Who Mopped X-Mas,7.8,"Aren't the holidays such a drag? Brighten up your night with a fierce Christmas challenge on tonight's RuPaul's Drag Race. The claws come out in the first challenge of the season when the girls are asked to create a holiday look with nothing but some tinsel, ornaments and a few well placed mistletoe.",3,2,Drag Race
Queens in Space,7.5,The queens face the final frontier as they shoot two out-of-this-world sci-fi movie trailers.,3,3,Drag Race
Totally Leotarded,7.9,The girls get physical as they produce their own inspirational workout videos directed by fitness guru Susan Powter.,3,4,Drag Race
QNN News,7.6,The queens get a wake up call in the competition when they're asked to produce two morning news shows.,3,5,Drag Race
The Snatch Game,7.9,The queens compete in a star-studded TV game show where they must pull out their best celebrity impersonations.,3,6,Drag Race
