album,title,lyrics,lyrics_str
Blue Banisters,Text Book,"['guess', 'could', 'call', 'textbook', 'lookin', 'father', 'wanted', 'back', 'thought', 'found', 'brentwood', 'seemed', 'appropriate', 'easily', 'back', 'issue', 'even', 'like', 'love', 'life', 'shining', 'star', 'standin', 'blue', 'open', 'arm', 'touched', 'detriment', 'friend', 'knew', 'already', 'got', 'thunderbird', 'daddy', 'one', 'let', 'rewrite', 'history', 'ill', 'dance', 'know', 'im', 'girl', 'know', 'ill', 'never', 'maybe', 'way', 'different', 'could', 'set', 'free', 'screamin', 'black', 'life', 'matter', 'crowd', 'old', 'man', 'river', 'saw', 'saw', 'god', 'wish', 'father', 'could', 'see', 'u', 'splendor', 'thing', 'want', 'screamed', 'ohohoh', 'screamed', 'ahah', 'could', 'dance', 'think', 'go', 'blonde', 'could', 'get', 'old', 'love', 'back', 'guess', 'really', 'end', 'never', 'felt', 'jealous', 'year', 'im', 'jealous', 'people', 'say', 'much', 'alike', 'maybe', 'finally', 'make', 'right', 'end', 'sleepless', 'night', 'men', 'met', 'felt', 'right', 'would', 'smile', 'stick', 'knife', 'back', 'finally', 'met', 'im', 'wonderin', 'got', 'thunderbird', 'daddy', 'one', 'let', 'rewrite', 'history', 'ill', 'dance', 'know', 'im', 'girl', 'know', 'ill', 'never', 'maybe', 'way', 'different', 'could', 'set', 'free', 'screamin', 'black', 'life', 'matter', 'crowd', 'old', 'man', 'river', 'saw', 'saw', 'god', 'wish', 'father', 'could', 'see', 'u', 'splendor', 'thing', 'want', 'screamed', 'ohohoh', 'screamed', 'ahah', 'outro', 'old', 'man', 'river', 'keep', 'rollin', 'without', 'old', 'man', 'river', 'keep', 'rollin', 'without', 'oh', 'old', 'man', 'old', 'man', 'river', 'keep', 'rollin']",guess could call textbook lookin father wanted back thought found brentwood seemed appropriate easily back issue even like love life shining star standin blue open arm touched detriment friend knew already got thunderbird daddy one let rewrite history ill dance know im girl know ill never maybe way different could set free screamin black life matter crowd old man river saw saw god wish father could see u splendor thing want screamed ohohoh screamed ahah could dance think go blonde could get old love back guess really end never felt jealous year im jealous people say much alike maybe finally make right end sleepless night men met felt right would smile stick knife back finally met im wonderin got thunderbird daddy one let rewrite history ill dance know im girl know ill never maybe way different could set free screamin black life matter crowd old man river saw saw god wish father could see u splendor thing want screamed ohohoh screamed ahah outro old man river keep rollin without old man river keep rollin without oh old man old man river keep rollin
Blue Banisters,Blue Banisters,"['there', 'picture', 'wall', 'john', 'deere', 'jenny', 'handed', 'beer', 'said', 'hell', 'get', 'oh', 'oklahoma', 'mmmm', 'mm', 'flower', 'dry', 'sittin', 'dresser', 'asked', 'theyre', 'said', 'place', 'remember', 'oh', 'oklahoma', 'ohoh', 'jenny', 'jumped', 'pool', 'swimmin', 'nikki', 'lane', 'said', 'men', 'want', 'woman', 'legacy', 'age', 'said', 'cant', 'muse', 'happy', 'cant', 'blacken', 'page', 'russian', 'poetry', 'happy', 'scared', 'cause', 'met', 'man', 'said', 'hed', 'come', 'back', 'every', 'may', 'help', 'id', 'paint', 'banister', 'blue', 'blue', 'banister', 'ooh', 'said', 'hed', 'fix', 'weathervane', 'give', 'child', 'take', 'away', 'pain', 'paint', 'banister', 'blue', 'banister', 'blue', 'there', 'hole', 'thats', 'heart', 'woman', 'try', 'heal', 'theyre', 'doin', 'good', 'job', 'convincin', 'real', 'heat', 'lightning', 'ohohoh', 'oh', 'cause', 'there', 'man', 'thats', 'past', 'there', 'man', 'thats', 'still', 'right', 'he', 'real', 'enough', 'touch', 'darkest', 'night', 'he', 'shinin', 'oohoohooh', 'jenny', 'smokin', 'pool', 'writin', 'nikki', 'lane', 'said', 'im', 'scared', 'santa', 'clarita', 'fire', 'wish', 'would', 'rain', 'said', 'power', 'u', 'three', 'bring', 'absolutely', 'anything', 'except', 'one', 'thing', 'diamond', 'rust', 'rain', 'thing', 'wash', 'away', 'pain', 'thats', 'okay', 'cause', '2', 'weather', 'turn', 'may', 'sister', 'come', 'paint', 'banister', 'green', 'blue', 'banister', 'grey', 'tex', 'mex', 'bay', 'chuckys', 'makin', 'birthday', 'cake', 'chicken', 'runnin', 'bare', 'foot', 'there', 'baby', 'way', 'blue', 'banister', 'green', 'grey', 'ahah', 'outro', 'summer', 'come', 'winter', 'go', 'spring', 'skip', 'god', 'know', 'summer', 'come', 'winter', 'go', 'spring', 'sleep', 'heaven', 'know', 'every', 'time', 'turn', 'may', 'sister', 'fly', 'paint']",there picture wall john deere jenny handed beer said hell get oh oklahoma mmmm mm flower dry sittin dresser asked theyre said place remember oh oklahoma ohoh jenny jumped pool swimmin nikki lane said men want woman legacy age said cant muse happy cant blacken page russian poetry happy scared cause met man said hed come back every may help id paint banister blue blue banister ooh said hed fix weathervane give child take away pain paint banister blue banister blue there hole thats heart woman try heal theyre doin good job convincin real heat lightning ohohoh oh cause there man thats past there man thats still right he real enough touch darkest night he shinin oohoohooh jenny smokin pool writin nikki lane said im scared santa clarita fire wish would rain said power u three bring absolutely anything except one thing diamond rust rain thing wash away pain thats okay cause 2 weather turn may sister come paint banister green blue banister grey tex mex bay chuckys makin birthday cake chicken runnin bare foot there baby way blue banister green grey ahah outro summer come winter go spring skip god know summer come winter go spring sleep heaven know every time turn may sister fly paint
Blue Banisters,Arcadia,"['body', 'map', 'la', 'stand', 'straight', 'like', 'angel', 'halo', 'hangin', 'hilton', 'hotel', 'window', 'screamin', 'hey', 'baby', 'let', 'go', 'chest', 'sierra', 'madre', 'hip', 'every', 'high', 'byway', 'trace', 'fingertip', 'like', 'toyota', 'run', 'hand', 'like', 'land', 'rover', 'arcadia', 'arcadia', 'road', 'lead', 'integral', 'artery', 'pump', 'blood', 'flow', 'straight', 'heart', 'america', 'america', 'cant', 'sleep', 'home', 'tonight', 'send', 'hilton', 'hotel', 'cross', 'hill', 'im', 'lost', 'little', 'girl', 'findin', 'way', 'arcadia', 'body', 'map', 'la', 'heart', 'like', 'paper', 'hate', 'im', 'land', 'palm', 'know', 'cant', 'stay', 'im', 'native', 'curve', 'san', 'gabriel', 'day', 'lip', 'like', 'fire', 'lick', 'bay', 'think', 'know', 'come', 'lay', 'hand', 'like', 'land', 'rover', 'arcadia', 'arcadia', 'road', 'lead', 'integral', 'artery', 'get', 'blood', 'flowing', 'straight', 'heart', 'america', 'need', 'miracle', 'cant', 'sleep', 'home', 'tonight', 'send', 'hilton', 'hotel', 'cross', 'hill', 'im', 'lost', 'little', 'girl', 'findin', 'way', 'arcadia', 'outro', 'built', 'threehundred', 'foot', 'tall', 'tear', 'im', 'leavin', 'nothing', 'laughter', 'town', 'arcadia', 'findin', 'way', 'im', 'leavin', 'fivefooteight', 'western', 'belt', 'plus', 'hate', 'gave', 'way', 'thanks', 'way', 'ill', 'pray', 'need', 'miracle']",body map la stand straight like angel halo hangin hilton hotel window screamin hey baby let go chest sierra madre hip every high byway trace fingertip like toyota run hand like land rover arcadia arcadia road lead integral artery pump blood flow straight heart america america cant sleep home tonight send hilton hotel cross hill im lost little girl findin way arcadia body map la heart like paper hate im land palm know cant stay im native curve san gabriel day lip like fire lick bay think know come lay hand like land rover arcadia arcadia road lead integral artery get blood flowing straight heart america need miracle cant sleep home tonight send hilton hotel cross hill im lost little girl findin way arcadia outro built threehundred foot tall tear im leavin nothing laughter town arcadia findin way im leavin fivefooteight western belt plus hate gave way thanks way ill pray need miracle
Blue Banisters,Black Bathing Suit,"['grenadine', 'quarantine', 'like', 'lot', 'la', 'hey', 'zoom', 'target', 'parking', 'lot', 'end', 'want', 'boyfriend', 'someone', 'eat', 'ice', 'cream', 'watch', 'television', 'walk', 'home', 'mall', 'cause', 'really', 'meant', 'im', 'honest', 'im', 'tired', 'shit', 'cause', 'body', 'temple', 'heart', 'one', 'thing', 'still', 'fit', 'black', 'bathing', 'suit', 'know', 'better', 'baby', 'time', 'run', 'time', 'ever', 'see', 'dream', 'black', 'bathing', 'suit', 'lookin', 'lookin', 'real', 'cute', 'cause', 'said', 'bad', 'let', 'show', 'bad', 'girl', 'cause', 'one', 'better', 'said', 'bad', 'let', 'show', 'bad', 'girl', 'cause', 'one', 'better', 'swisher', 'sweet', 'magazine', 'promise', 'cause', 'im', 'mean', 'afterthought', 'never', 'said', 'there', 'price', 'head', 'nothing', 'karmic', 'lineage', 'im', 'friend', 'mother', 'still', 'love', 'dad', 'untraditional', 'lover', 'handle', 'guess', 'im', 'complicated', 'life', 'sorta', 'wish', 'could', 'see', 'soul', 'black', 'bathing', 'suit', 'know', 'better', 'baby', 'cause', 'sing', 'like', 'angel', 'heart', 'like', 'one', 'thing', 'fit', 'black', 'bathing', 'suit', 'lookin', 'lookin', 'real', 'cute', 'cause', 'said', 'bad', 'let', 'show', 'bad', 'girl', 'cause', 'one', 'better', 'said', 'bad', 'let', 'show', 'bad', 'girl', 'cause', 'one', 'better', 'said', 'bad', 'ill', 'show', 'bad', 'girl', 'outro', 'black', 'bathing', 'suit', 'oh', 'let', 'em', 'talk', 'theyre', 'yesterday', 'news', 'theyre', 'fucking', 'broke', 'laughin', 'mail', 'get', 'blue', 'well', 'last', 'laugh', 'way', 'thanks', 'shoe', 'interest', 'really', 'made', 'stack', 'interest', 'really', 'made', 'stack', 'interest', 'really', 'made', 'stack', 'interest', 'really', 'made', 'stack', 'thanks', 'interest', 'really', 'made', 'stack', 'thanks', 'interest', 'really', 'made', 'stack', 'thanks']",grenadine quarantine like lot la hey zoom target parking lot end want boyfriend someone eat ice cream watch television walk home mall cause really meant im honest im tired shit cause body temple heart one thing still fit black bathing suit know better baby time run time ever see dream black bathing suit lookin lookin real cute cause said bad let show bad girl cause one better said bad let show bad girl cause one better swisher sweet magazine promise cause im mean afterthought never said there price head nothing karmic lineage im friend mother still love dad untraditional lover handle guess im complicated life sorta wish could see soul black bathing suit know better baby cause sing like angel heart like one thing fit black bathing suit lookin lookin real cute cause said bad let show bad girl cause one better said bad let show bad girl cause one better said bad ill show bad girl outro black bathing suit oh let em talk theyre yesterday news theyre fucking broke laughin mail get blue well last laugh way thanks shoe interest really made stack interest really made stack interest really made stack interest really made stack thanks interest really made stack thanks interest really made stack thanks
Blue Banisters,If You Lie Down with Me,"['put', 'red', 'boot', 'baby', 'giddy', 'baby', 'want', 'dance', 'baby', 'get', 'way', 'treat', 'nice', 'talk', 'whiskey', 'breath', 'twirl', 'twice', 'ill', 'treat', 'like', 'holiday', 'say', 'know', 'aint', 'say', 'babe', 'already', 'late', 'best', 'dance', 'around', 'room', 'spin', 'like', 'ballerina', 'super', 'high', 'dance', 'around', 'moon', 'light', 'like', 'fourth', 'july', 'twice', 'three', 'time', 'guy', 'ever', 'thought', 'would', 'meet', 'say', 'know', 'lie', 'post', 'lie', 'lie', 'next', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'next', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'next', 'get', 'jacket', 'gentleman', 'get', 'truck', 'pick', 'eight', 'cause', 'built', 'longhaul', 'freight', 'train', 'burnt', 'fire', 'without', 'trial', 'like', 'stowaway', 'say', 'know', 'aint', 'lay', 'lie', 'next', 'dance', 'around', 'room', 'spin', 'like', 'ballerina', 'super', 'high', 'dance', 'around', 'moon', 'like', 'six', 'time', 'til', 'im', 'sick', 'cry', 'twice', 'three', 'time', 'guy', 'ever', 'thought', 'would', 'meet', 'say', 'know', 'lying', 'post', 'lie', 'lie', 'next', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'next', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'lie', 'next', 'instrumental']",put red boot baby giddy baby want dance baby get way treat nice talk whiskey breath twirl twice ill treat like holiday say know aint say babe already late best dance around room spin like ballerina super high dance around moon light like fourth july twice three time guy ever thought would meet say know lie post lie lie next lie lie lie lie lie lie lie lie lie lie lie next lie lie lie lie lie lie lie lie lie lie lie next get jacket gentleman get truck pick eight cause built longhaul freight train burnt fire without trial like stowaway say know aint lay lie next dance around room spin like ballerina super high dance around moon like six time til im sick cry twice three time guy ever thought would meet say know lying post lie lie next lie lie lie lie lie lie lie lie lie lie lie lie lie next lie lie lie lie lie lie lie lie lie lie lie lie lie next instrumental
Blue Banisters,Beautiful,"['let', 'keep', 'simple', 'babe', 'make', 'complicated', 'tell', 'glad', 'im', 'sad', 'really', 'hate', 'try', 'bad', 'he', 'interested', 'he', 'holding', 'back', 'could', 'like', 'would', 'cant', 'im', 'glad', 'someone', 'asked', 'picasso', 'sad', 'never', 'known', 'man', 'hed', 'become', 'would', 'blue', 'period', 'let', 'run', 'wolf', 'let', 'let', 'show', 'sadness', 'turn', 'happiness', 'turn', 'blue', 'something', 'beautiful', 'beautiful', 'beautiful', 'like', 'beautiful', 'beautiful', 'beautiful', 'like', 'let', 'keep', 'simple', 'babe', 'cant', 'afford', 'change', 'turn', 'something', 'im', 'there', 'way', 'sustain', 'try', 'hold', 'back', 'seems', 'either', 'way', 'make', 'mad', 'ill', 'ill', 'think', 'thats', 'cool', 'ill', 'take', 'back', 'someone', 'asked', 'picasso', 'sad', 'never', 'known', 'man', 'hed', 'become', 'would', 'blue', 'period', 'let', 'run', 'wolf', 'let', 'let', 'show', 'sadness', 'turn', 'happiness', 'turn', 'blue', 'something', 'beautiful', 'beautiful', 'beautiful', 'like', 'beautiful', 'beautiful', 'beautiful', 'like', 'beautiful', 'beautiful', 'beautiful', 'like', 'beautiful', 'beautiful', 'beautiful', 'like']",let keep simple babe make complicated tell glad im sad really hate try bad he interested he holding back could like would cant im glad someone asked picasso sad never known man hed become would blue period let run wolf let let show sadness turn happiness turn blue something beautiful beautiful beautiful like beautiful beautiful beautiful like let keep simple babe cant afford change turn something im there way sustain try hold back seems either way make mad ill ill think thats cool ill take back someone asked picasso sad never known man hed become would blue period let run wolf let let show sadness turn happiness turn blue something beautiful beautiful beautiful like beautiful beautiful beautiful like beautiful beautiful beautiful like beautiful beautiful beautiful like
Blue Banisters,Violets for Roses,"['there', 'something', 'air', 'girl', 'runnin', 'round', 'summer', 'dress', 'mask', 'make', 'happy', 'larchmont', 'village', 'smell', 'like', 'lily', 'valley', 'bookstore', 'door', 'opening', 'finally', 'happening', 'ever', 'since', 'fell', 'love', 'fell', 'back', 'love', 'boy', 'feel', 'sweet', 'like', 'summer', 'breeze', 'ever', 'since', 'fell', 'love', 'fell', 'back', 'love', 'city', 'like', 'thе', 'paramount', 'sign', 'sparkling', 'sparkling', 'made', 'tradе', 'violet', 'rose', 'tried', 'trade', 'new', 'truck', 'roll', 'forget', 'thing', 'love', 'thing', 'hate', 'simple', 'life', 'chose', 'made', 'trade', 'violet', 'rose', 'tried', 'take', 'pink', 'toe', 'god', 'know', 'mistake', 'man', 'make', 'tryna', 'make', 'woman', 'change', 'trade', 'violet', 'rose', 'post', 'ahlaha', 'ahha', 'trade', 'violet', 'rose', 'ahlaha', 'ahha', 'there', 'something', 'air', 'hope', 'change', 'real', 'beginning', 'something', 'big', 'happening', 'merthys', 'alley', 'street', 'ceased', 'still', 'shadow', 'haunt', 'avenue', 'silence', 'deafening', 'ever', 'since', 'fell', 'love', 'fell', 'back', 'love', 'street', 'god', 'feel', 'sweet', 'like', 'summer', 'breeze', 'ever', 'since', 'fell', 'love', 'breakdance', 'backbeat', 'god', 'sound', 'sweet', 'like', 'playing', 'made', 'trade', 'violet', 'rose', 'tried', 'trade', 'new', 'truck', 'roll', 'forget', 'thing', 'love', 'thing', 'hate', 'simple', 'life', 'chose', 'made', 'trade', 'violet', 'rose', 'tried', 'take', 'pink', 'toe', 'god', 'know', 'mistake', 'man', 'make', 'tryin', 'make', 'woman', 'change', 'trade', 'violet', 'rose', 'post', 'ahlaha', 'ahha', 'trade', 'violet', 'rose', 'ahlaha', 'ahha', 'trade', 'violet', 'rose', 'ahlaha', 'ahha', 'outro', 'there', 'something', 'air', 'girl', 'runnin', 'round', 'summer', 'dress', 'mask', 'make']",there something air girl runnin round summer dress mask make happy larchmont village smell like lily valley bookstore door opening finally happening ever since fell love fell back love boy feel sweet like summer breeze ever since fell love fell back love city like thе paramount sign sparkling sparkling made tradе violet rose tried trade new truck roll forget thing love thing hate simple life chose made trade violet rose tried take pink toe god know mistake man make tryna make woman change trade violet rose post ahlaha ahha trade violet rose ahlaha ahha there something air hope change real beginning something big happening merthys alley street ceased still shadow haunt avenue silence deafening ever since fell love fell back love street god feel sweet like summer breeze ever since fell love breakdance backbeat god sound sweet like playing made trade violet rose tried trade new truck roll forget thing love thing hate simple life chose made trade violet rose tried take pink toe god know mistake man make tryin make woman change trade violet rose post ahlaha ahha trade violet rose ahlaha ahha trade violet rose ahlaha ahha outro there something air girl runnin round summer dress mask make
Blue Banisters,Dealer,"['mile', 'kane', 'please', 'try', 'find', 'dealer', 'pick', 'phone', 'please', 'try', 'father', 'either', 'aint', 'home', 'year', 'know', 'im', 'spiritseeker', 'cant', 'sleep', 'tear', 'get', 'lost', 'ether', 'mile', 'kane', 'check', 'wreck', 'turn', 'around', 'gave', 'money', 'gave', 'money', 'gave', 'money', 'gave', 'money', 'wan', 'na', 'live', 'wan', 'na', 'give', 'nothing', 'cause', 'never', 'give', 'nothing', 'back', 'cant', 'good', 'something', 'one', 'shirt', 'back', 'cant', 'good', 'something', 'one', 'shirt', 'back', 'mile', 'kane', 'please', 'try', 'find', 'dealer', 'pick', 'phone', 'please', 'try', 'doctor', 'either', 'take', 'call', 'he', 'fucking', 'spirit', 'healer', 'cant', 'stop', 'talk', 'he', 'gone', 'weekend', 'check', 'wreck', 'ill', 'explain', 'gave', 'money', 'gave', 'money', 'gave', 'money', 'gave', 'money', 'wan', 'na', 'live', 'wan', 'na', 'give', 'nothing', 'cause', 'never', 'give', 'nothing', 'back', 'cant', 'good', 'something', 'one', 'shirt', 'back', 'cant', 'good', 'something', 'one', 'shirt', 'back', 'outro', 'mile', 'kane', '555', 'please', 'try', 'find', 'dealer', '9275', '555', 'pick', 'phone', 'got', 'busy', 'tone', 'circuit', 'busy', 'goodbye', 'circuit', 'busy', 'high', 'please', 'try', 'father', 'either', 'circuit', 'busy', 'goodbye', 'aint', 'home', 'year', 'circuit', 'busy']",mile kane please try find dealer pick phone please try father either aint home year know im spiritseeker cant sleep tear get lost ether mile kane check wreck turn around gave money gave money gave money gave money wan na live wan na give nothing cause never give nothing back cant good something one shirt back cant good something one shirt back mile kane please try find dealer pick phone please try doctor either take call he fucking spirit healer cant stop talk he gone weekend check wreck ill explain gave money gave money gave money gave money wan na live wan na give nothing cause never give nothing back cant good something one shirt back cant good something one shirt back outro mile kane 555 please try find dealer 9275 555 pick phone got busy tone circuit busy goodbye circuit busy high please try father either circuit busy goodbye aint home year circuit busy
Blue Banisters,Thunder,"['roll', 'like', 'thunder', 'come', 'crashin', 'town', 'aint', 'since', 'left', 'friend', 'roll', 'like', 'thunder', 'come', 'crashing', 'regatta', 'wind', 'thats', 'visiting', 'act', 'like', 'fucking', 'mr', 'brightside', 'friend', 'know', 'like', 'party', 'end', 'wait', 'wait', 'roll', 'like', 'thunder', 'pourin', 'drink', 'party', 'lit', 'friend', 'halfcut', 'begin', 'roll', 'like', 'thunder', 'tryna', 'catch', 'wind', 'lightning', 'bottle', 'moonbeam', 'hand', 'try', 'see', 'bright', 'side', 'new', 'day', 'begin', 'satisfied', 'rainbow', 'end', 'wait', 'wan', 'na', 'wait', 'wait', 'bridge', 'cause', 'fire', 'fire', 'keep', 'burnin', 'til', 'rain', 'wait', 'baby', 'keep', 'ablaze', 'honey', 'fire', 'fire', 'keep', 'burning', 'keep', 'alive', 'wait', 'spare', 'blade', 'wait', 'hello', 'mean', 'goodbye', 'honey', 'better', 'walk', 'away', 'wait', 'hello', 'mean', 'goodbye', 'baby', 'better', 'walk', 'away', 'wait', 'cause', 'wan', 'na', 'wait', 'wait', 'outro', 'wait', 'fire', 'fire', 'keep', 'burning', 'wait']",roll like thunder come crashin town aint since left friend roll like thunder come crashing regatta wind thats visiting act like fucking mr brightside friend know like party end wait wait roll like thunder pourin drink party lit friend halfcut begin roll like thunder tryna catch wind lightning bottle moonbeam hand try see bright side new day begin satisfied rainbow end wait wan na wait wait bridge cause fire fire keep burnin til rain wait baby keep ablaze honey fire fire keep burning keep alive wait spare blade wait hello mean goodbye honey better walk away wait hello mean goodbye baby better walk away wait cause wan na wait wait outro wait fire fire keep burning wait
Blue Banisters,Wildflower Wildfire,"['here', 'deal', 'cause', 'know', 'wan', 'na', 'talk', 'here', 'deal', 'promise', 'like', 'million', 'tomorrow', 'here', 'deal', 'promise', 'ill', 'lie', 'like', 'bed', 'wildflower', 'ill', 'always', 'make', 'sheet', 'smell', 'like', 'gardenia', 'wild', 'foot', 'nourish', 'hazily', 'baby', 'ive', 'runnin', 'stardust', 'alone', 'long', 'know', 'hot', 'fire', 'hot', 'fire', 'hot', 'weather', 'hot', 'coffee', 'im', 'better', 'strange', 'true', 'darling', 'turn', 'wildfire', 'light', 'night', 'smile', 'nothing', 'burn', 'baby', 'ill', 'like', 'wildflower', 'live', 'sheer', 'willpower', 'ill', 'best', 'never', 'turn', 'something', 'burn', 'burn', 'burn', 'like', 'others', 'baby', 'burn', 'burn', 'burn', 'here', 'deal', 'cause', 'know', 'wan', 'na', 'talk', 'here', 'deal', 'say', 'there', 'gap', 'fill', 'here', 'deal', 'father', 'never', 'stepped', 'wife', 'would', 'rage', 'ended', 'awkward', 'sweet', 'later', 'hospital', 'stand', 'still', 'foot', 'comfortably', 'numb', 'lithium', 'came', 'poetry', 'baby', 'ive', 'running', 'star', 'drip', 'iv', 'long', 'know', 'cruel', 'world', 'hot', 'fire', 'hot', 'weather', 'hot', 'coffee', 'im', 'better', 'turn', 'learn', 'babe', 'turn', 'wildfire', 'light', 'night', 'smile', 'nothing', 'hurt', 'baby', 'run', 'like', 'wildflower', 'live', 'sheer', 'willpower', 'promise', 'nothing', 'burn', 'nothing', 'burn', 'burn', 'burn', 'like', 'others', 'baby', 'burn', 'burn', 'burn', 'burn', 'burn', 'burn', 'like', 'others', 'baby', 'like', 'others', 'baby', 'burn', 'burn', 'burn', 'outro', 'learn', 'learn', 'learn', 'learn', 'learn']",here deal cause know wan na talk here deal promise like million tomorrow here deal promise ill lie like bed wildflower ill always make sheet smell like gardenia wild foot nourish hazily baby ive runnin stardust alone long know hot fire hot fire hot weather hot coffee im better strange true darling turn wildfire light night smile nothing burn baby ill like wildflower live sheer willpower ill best never turn something burn burn burn like others baby burn burn burn here deal cause know wan na talk here deal say there gap fill here deal father never stepped wife would rage ended awkward sweet later hospital stand still foot comfortably numb lithium came poetry baby ive running star drip iv long know cruel world hot fire hot weather hot coffee im better turn learn babe turn wildfire light night smile nothing hurt baby run like wildflower live sheer willpower promise nothing burn nothing burn burn burn like others baby burn burn burn burn burn burn like others baby like others baby burn burn burn outro learn learn learn learn learn
